Date,Close,Open,High,Low,Volume,Change %,Vol.
1/7/2013,2535.99,2518.05,2545.97,2511.6,75170,0.46%,75.17
1/8/2013,2525.33,2534.65,2540.51,2502.49,71840,-0.42%,71.84
1/9/2013,2526.13,2518.1,2534.24,2504.3,70230,0.03%,70.23
1/10/2013,2530.57,2525.59,2553.35,2513.73,71090,0.18%,71.09
1/11/2013,2483.23,2533.49,2539.79,2473.7,74240,-1.87%,74.24
1/14/2013,2577.72,2474.18,2583.62,2474,93550,3.81%,93.55
1/15/2013,2595.86,2579.13,2605.41,2576.92,98620,0.70%,98.62
1/16/2013,2577.09,2591.36,2600.09,2540.52,93540,-0.72%,93.54
1/17/2013,2552.76,2570.71,2575.06,2539.67,69920,-0.94%,69.92
1/18/2013,2595.44,2568.69,2607.45,2553.45,77940,1.67%,77.94
1/21/2013,2610.9,2605.65,2611.2,2582.65,84130,0.60%,84.13
1/22/2013,2596.9,2610.39,2620.03,2578.18,105770,-0.54%,105.77
1/23/2013,2607.46,2588.2,2611.41,2576.36,75740,0.41%,75.74
1/24/2013,2582.76,2606.43,2663.4,2564.21,111280,-0.95%,111.28
1/25/2013,2571.67,2580.88,2591.51,2567.11,58490,-0.43%,58.49
1/28/2013,2651.86,2577.27,2651.97,2577.27,91280,3.12%,91.28
1/29/2013,2675.87,2655.38,2685.53,2646.15,101040,0.91%,101.04
1/30/2013,2688.71,2678.43,2689.68,2662.06,99880,0.48%,99.88
1/31/2013,2686.88,2690.95,2696.88,2671.33,96740,-0.07%,96.74
2/1/2013,2743.32,2677.19,2744.32,2671.27,103880,2.10%,103.88
2/4/2013,2748.03,2753.69,2768.5,2731.08,127940,0.17%,127.94
2/5/2013,2771.68,2727.93,2779.95,2725.36,116130,0.86%,116.13
2/6/2013,2775.84,2771.91,2787.46,2765.74,82780,0.15%,82.78
2/7/2013,2759.87,2771.53,2775.97,2722.87,89980,-0.58%,89.98
2/8/2013,2771.72,2755.65,2791.3,2747.95,77430,0.43%,77.43
2/16/2013,2771.72,2755.65,2791.3,2747.95,77430,0.00%,77.43
2/17/2013,2771.72,2755.65,2791.3,2747.95,77430,0.00%,77.43
2/18/2013,2737.47,2784.07,2787.74,2731.51,76440,-1.24%,76.44
2/19/2013,2685.61,2735.05,2740.74,2674.34,80630,-1.89%,80.63
2/20/2013,2702.64,2686.09,2703.1,2665.23,70020,0.63%,70.02
2/21/2013,2610.55,2675.74,2675.74,2584.76,100660,-3.41%,100.66
2/22/2013,2596.6,2607.65,2618.48,2591.15,60210,-0.53%,60.21
2/25/2013,2604.96,2607.15,2628.7,2590.79,53160,0.32%,53.16
2/26/2013,2567.59,2587.38,2631.09,2564.67,80000,-1.43%,80
2/27/2013,2594.68,2576.05,2615.25,2569.38,63230,1.06%,63.23
2/28/2013,2673.33,2611.94,2673.71,2594,86920,3.03%,86.92
3/1/2013,2668.84,2671.84,2680.85,2626.99,73340,-0.17%,73.34
3/4/2013,2545.72,2619.42,2619.57,2528.69,110620,-4.61%,110.62
3/5/2013,2622.81,2547.89,2623.17,2541.77,89660,3.03%,89.66
3/6/2013,2650.2,2634.87,2658.14,2620.43,95830,1.04%,95.83
3/7/2013,2619.48,2639.78,2658.97,2592.87,94080,-1.16%,94.08
